Rank,Sourceid,Title,Type,Issn,SJR Best Quartile,Country,Areas
41,20313,Nature Reviews Microbiology,journal,"17401534, 17401526",Q1,United Kingdom,Immunology and Microbiology; Medicine
42,23571,Science,journal,"10959203, 00368075",Q1,United States,Arts and Humanities; Multidisciplinary
43,17500155114,Energy and Environmental Science,journal,"17545692, 17545706",Q1,United Kingdom,Energy; Environmental Science
44,26651,Annual Review of Astronomy and Astrophysics,book series,"15454282, 00664146",Q1,United States,Earth and Planetary Sciences; Physics and Astronomy
45,16161,Review of Financial Studies,journal,"14657368, 08939454",Q1,United Kingdom,"Business, Management and Accounting; Economics, Econometrics and Finance"
46,19900191906,Academy of Management Annals,journal,"19416520, 19416067",Q1,United States,"Business, Management and Accounting"
47,16115,Nature Biotechnology,journal,"15461696, 10870156",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
48,21100780831,Nature Reviews Disease Primers,journal,2056676X,Q1,United Kingdom,Medicine
49,24379,Journal of Financial Economics,journal,0304405X,Q1,Netherlands,"Business, Management and Accounting; Economics, Econometrics and Finance"
50,20798,Immunity,journal,"10974180, 10747613",Q1,United States,Immunology and Microbiology; Medicine
51,29093,Cancer Cell,journal,"15356108, 18783686",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
52,18395,Annual Review of Cell and Developmental Biology,journal,"15308995, 10810706",Q1,United States,"Biochemistry, Genetics and Molecular Biology"
53,20246,Journal of Labor Economics,journal,"0734306X, 15375307",Q1,United States,"Business, Management and Accounting; Economics, Econometrics and Finance"
54,16036,Administrative Science Quarterly,journal,"00018392, 19303815",Q1,United States,Arts and Humanities; Social Sciences
55,16860,"Lancet Neurology, The",journal,"14744465, 14744422",Q1,United Kingdom,Medicine
56,20191,Academy of Management Journal,journal,00014273,Q1,United States,"Business, Management and Accounting"
57,21100862548,Nature Catalysis,journal,25201158,Q1,United States,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
58,18606,Molecular Cell,journal,"10974164, 10972765",Q1,United States,"Biochemistry, Genetics and Molecular Biology"
59,16721,Annual Review of Plant Biology,journal,"15452123, 15435008",Q1,United States,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
60,146172,Cell Metabolism,journal,15504131,Q1,United States,"Biochemistry, Genetics and Molecular Biology"
61,28677,Living Reviews in Relativity,journal,"14338351, 23673613",Q1,Switzerland,Physics and Astronomy
62,19900191767,American Economic Journal: Applied Economics,journal,"19457790, 19457782",Q1,United States,"Economics, Econometrics and Finance"
63,19881,Advanced Materials,journal,"09359648, 15214095",Q1,United States,Engineering; Materials Science
64,120008,Annual Review of Physiology,journal,"00664278, 15451585",Q1,United States,"Biochemistry, Genetics and Molecular Biology"
65,14181,Annual Review of Neuroscience,journal,"0147006X, 15454126",Q1,United States,Neuroscience
66,12010,Annual Review of Psychology,journal,"00664308, 15452085",Q1,United States,Psychology
67,24004,Physiological Reviews,journal,"15221210, 00319333",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
68,29949,Journal of Clinical Oncology,journal,"15277755, 0732183X",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
69,22401,Journal of the American College of Cardiology,journal,"15583597, 07351097",Q1,United States,Medicine
70,18100156701,Nature Chemistry,journal,"17554330, 17554349",Q1,United Kingdom,Chemical Engineering; Chemistry
71,19014,Nature Cell Biology,journal,"14764679, 14657392",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
72,17700156734,Nature Reviews Clinical Oncology,journal,"17594782, 17594774",Q1,United Kingdom,Medicine
73,27165,Journal of Economic Literature,journal,00220515,Q1,United States,"Economics, Econometrics and Finance"
74,17978,Neuron,journal,"10974199, 08966273",Q1,United States,Neuroscience
75,21100199127,Advanced Energy Materials,journal,"16146832, 16146840",Q1,Germany,Energy; Materials Science
76,19066,Trends in Cell Biology,journal,"09628924, 18793088",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
77,40944,Genome Biology,journal,14747596,Q1,United Kingdom,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
78,12137,Journal of Statistical Software,journal,15487660,Q1,United States,Computer Science; Decision Sciences; Mathematics
79,28599,Reviews of Geophysics,journal,87551209,Q1,United States,Earth and Planetary Sciences
80,6100153018,Cell Stem Cell,journal,19345909,Q1,United States,"Biochemistry, Genetics and Molecular Biology"
81,21100834904,Joule,journal,25424351,Q1,United States,Energy
82,21100237403,"Lancet Diabetes and Endocrinology,The",journal,"22138595, 22138587",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine"
83,21315,Nature Immunology,journal,"15292908, 15292916",Q1,United Kingdom,Immunology and Microbiology; Medicine
84,22214,Genome Research,journal,"15495469, 10889051",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
85,6200180159,World Psychiatry,journal,17238617,Q1,United States,Medicine
86,13443,Psychological Bulletin,journal,"00332909, 19391455",Q1,United States,Arts and Humanities; Psychology
87,4000151822,Nature Physics,journal,17452473,Q1,United Kingdom,Physics and Astronomy
88,22471,"Lancet Infectious Diseases, The",journal,"14744457, 14733099",Q1,United Kingdom,Medicine
89,21706,Annual Review of Genetics,journal,"15452948, 00664197",Q1,United States,"Biochemistry, Genetics and Molecular Biology"
90,14204,Nucleic Acids Research,journal,"03051048, 13624962",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
91,11700154368,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,journal,"16181913, 00738301",Q1,Germany,Mathematics
92,12394,Nature Structural and Molecular Biology,journal,"15459993, 15459985",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
93,12817,Personnel Psychology,journal,"00315826, 17446570",Q1,United States,"Business, Management and Accounting; Psychology"
94,28980,Journal of Economic Perspectives,journal,08953309,Q1,United States,"Economics, Econometrics and Finance"
95,21100901949,Nano Futures,journal,23991984,Q1,United Kingdom,Chemical Engineering; Chemistry; Engineering; Materials Science; Physics and Astronomy
96,22657,Accounts of Chemical Research,journal,"00014842, 15204898",Q1,United States,Chemistry; Medicine
97,19651,Clinical Microbiology Reviews,journal,"08938512, 10986618",Q1,United States,Immunology and Microbiology; Medicine
98,22951,Journal of Marketing,journal,"15477185, 00222429",Q1,United States,"Business, Management and Accounting; Economics, Econometrics and Finance"
99,24668,Journal of the American Mathematical Society,journal,"10886834, 08940347",Q1,United States,Mathematics
100,19700188417,Annual Review of Condensed Matter Physics,journal,"19475454, 19475462",Q1,United States,Materials Science; Physics and Astronomy
101,11300153736,Annual Review of Pathology: Mechanisms of Disease,journal,"15534006, 15534014",Q1,United States,Agricultural and Biological Sciences; Medicine
102,27538,Progress in Energy and Combustion Science,journal,03601285,Q1,United Kingdom,Chemical Engineering; Energy
103,23157,Strategic Management Journal,journal,"10970266, 01432095",Q1,United Kingdom,"Business, Management and Accounting"
104,19897,European Urology,journal,"03022838, 1421993X",Q1,Netherlands,Medicine
105,12216,Molecular Biology and Evolution,journal,"15371719, 07374038",Q1,United Kingdom,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
106,17552,Acta Neuropathologica,journal,"00016322, 14320533",Q1,Germany,Medicine; Neuroscience
107,17899,Progress in Materials Science,journal,"18732208, 00796425",Q1,United Kingdom,Materials Science
108,29229,Physics Reports,journal,03701573,Q1,Netherlands,Physics and Astronomy
109,21100832985,ACS Energy Letters,journal,23808195,Q1,United States,Chemistry; Energy; Materials Science
110,21100265444,"Lancet Global Health,The",journal,2214109X,Q1,United Kingdom,Medicine
111,21100860945,Science immunology,journal,24709468,Q1,United States,Immunology and Microbiology; Medicine
112,21100863710,Annual Review of Organizational Psychology and Organizational Behavior,journal,23270608,Q1,United States,"Business, Management and Accounting; Psychology"
113,14816,Trends in Biochemical Sciences,journal,"13624326, 03765067, 09680004",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
114,21100773752,Nature Microbiology,journal,20585276,Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
115,22126,Genes and Development,journal,"15495477, 08909369",Q1,United States,"Biochemistry, Genetics and Molecular Biology"
116,19700200701,Annual Review of Economics,journal,"19411383, 19411391",Q1,United States,"Economics, Econometrics and Finance"
117,110325,"Annual Review of Ecology, Evolution, and Systematics",book series,1543592X,Q1,United States,Agricultural and Biological Sciences; Environmental Science
118,7500153126,Journal of the European Economic Association,journal,"15424774, 15424766",Q1,United States,"Economics, Econometrics and Finance"
119,12812,Personality and Social Psychology Review,journal,"10888683, 15327957",Q1,United States,Psychology
120,24721,Annals of Mathematics,journal,0003486X,Q1,United States,Decision Sciences; Mathematics
121,28366,Gut,journal,"14683288, 00175749",Q1,United Kingdom,Medicine
122,21272,Journal of Experimental Medicine,journal,"00221007, 15409538",Q1,United States,Immunology and Microbiology; Medicine
123,21100198409,Nature Climate Change,journal,"17586798, 1758678X",Q1,United Kingdom,Environmental Science; Social Sciences
124,19900191885,American Economic Journal: Macroeconomics,journal,"19457707, 19457715",Q1,United States,"Economics, Econometrics and Finance"
125,4600151524,Annual Review of Clinical Psychology,journal,"15485951, 15485943",Q1,United States,Medicine; Psychology
126,5800207366,Nature Protocols,journal,17542189,Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
127,24769,Materials Today,journal,13697021,Q1,Netherlands,Engineering; Materials Science; Physics and Astronomy
128,22899,Journal of Consumer Research,journal,"00935301, 15375277",Q1,United Kingdom,"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
129,21100420583,JAMA Oncology,journal,"23742445, 23742437",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
130,21100884663,Nature Electronics,journal,25201131,Q1,United Kingdom,Engineering; Materials Science; Physics and Astronomy
131,21100394875,Cell Systems,journal,24054712,Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
132,17900156715,IEEE Communications Surveys and Tutorials,journal,1553877X,Q1,United States,Engineering
133,19900191884,American Economic Journal: Economic Policy,journal,"19457731, 1945774X",Q1,United States,"Economics, Econometrics and Finance"
134,24204,Review of Economics and Statistics,journal,"00346535, 15309142",Q1,United States,"Economics, Econometrics and Finance; Social Sciences"
135,24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,01628828,Q1,United States,Computer Science; Mathematics
136,21100220495,"Lancet Respiratory Medicine,The",journal,"22132619, 22132600",Q1,United Kingdom,Medicine
137,21100212318,Cancer Discovery,journal,"21598274, 21598290",Q1,United States,Medicine
138,20206,Academy of Management Review,journal,03637425,Q1,United States,"Business, Management and Accounting"
139,16512,Review of Educational Research,journal,"00346543, 19351046",Q1,United States,Social Sciences
140,21100201772,Physical Review X,journal,21603308,Q1,United States,Physics and Astronomy
141,12000154482,Annual Review of Biophysics,journal,"19361238, 1936122X",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
142,22581,Circulation,journal,"00097322, 15244539",Q1,United States,Medicine
143,21677,American Journal of Human Genetics,journal,"15376605, 00029297",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
144,20278,Microbiology and Molecular Biology Reviews,journal,"10985557, 10922172",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
145,4700152228,Molecular Systems Biology,journal,17444292,Q1,United States,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
146,22961,Journal of Marketing Research,journal,"00222437, 15477193",Q1,United States,"Business, Management and Accounting; Economics, Econometrics and Finance"
147,29709,Reports on Progress in Physics,journal,"13616633, 00344885",Q1,United Kingdom,Medicine; Physics and Astronomy
148,19700188395,Annual Review of Marine Science,journal,"19410611, 19411405",Q1,United States,Earth and Planetary Sciences
149,21191,Pharmacological Reviews,journal,"15210081, 00316997",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
150,28418,Brookings Papers on Economic Activity,journal,"00072303, 15334465",Q1,United States,"Business, Management and Accounting; Economics, Econometrics and Finance"
151,23714,Marketing Science,journal,"07322399, 1526548X",Q1,United States,"Business, Management and Accounting; Economics, Econometrics and Finance"
152,5300152732,Cell Host and Microbe,journal,19313128,Q1,United States,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
153,15555,American Journal of Political Science,journal,"00925853, 15405907",Q1,United Kingdom,Social Sciences
154,17435,EMBO Journal,journal,"02614189, 14602075",Q1,Germany,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
155,19700174677,Science Translational Medicine,journal,"19466234, 19466242",Q1,United States,Medicine
156,20425,Nature Reviews Drug Discovery,journal,"14741784, 14741776",Q1,United Kingdom,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
157,4000148205,Nature Chemical Biology,journal,"15524469, 15524450",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
158,29857,Journal of Accounting Research,journal,"1475679X, 00218456",Q1,United Kingdom,"Business, Management and Accounting; Economics, Econometrics and Finance"
159,20635,Journal of Management,journal,"01492063, 15571211",Q1,United States,"Business, Management and Accounting; Economics, Econometrics and Finance"
160,22680,Journal of the American Chemical Society,journal,"15205126, 00027863",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
161,21100356804,"Lancet Psychiatry,The",journal,"22150374, 22150366",Q1,United Kingdom,Medicine; Neuroscience
162,17814,Materials Science and Engineering: R: Reports,journal,0927796X,Q1,Netherlands,Engineering; Materials Science; Physics and Astronomy
163,18567,Fungal Diversity,journal,"15602745, 18789129",Q1,Netherlands,Agricultural and Biological Sciences; Environmental Science
164,15359,Trends in Cognitive Sciences,journal,"1879307X, 13646613",Q1,United Kingdom,Neuroscience; Psychology
165,110092,Morbidity and Mortality Weekly Report,journal,"01492195, 1545861X",Q1,United States,Environmental Science; Health Professions; Medicine; Social Sciences
166,21100804406,"Lancet Public Health, The",journal,24682667,Q1,United Kingdom,Medicine
167,19600166418,Tax Policy and the Economy,book series,"15372650, 08928649",Q1,United States,"Economics, Econometrics and Finance"
168,14365,Trends in Ecology and Evolution,journal,"01695347, 18728383",Q1,United Kingdom,Agricultural and Biological Sciences
169,28330,Gastroenterology,journal,"15280012, 00165085",Q1,United Kingdom,Medicine
170,21100228547,JAMA Psychiatry,journal,"21686238, 2168622X",Q1,United States,Medicine
171,25297,Journal of Hepatology,journal,"16000641, 01688278",Q1,Netherlands,Medicine
172,14599,Ecology Letters,journal,"1461023X, 14610248",Q1,United Kingdom,Agricultural and Biological Sciences
173,13969,Psychological Science in the Public Interest,journal,"21600031, 15291006",Q1,United States,Psychology
174,21100228100,Advances in Optics and Photonics,journal,19438206,Q1,United States,Environmental Science; Physics and Astronomy
175,17600155130,NCHS data brief,journal,"19414927, 19414935",Q1,United States,Medicine
176,28978,Journal of Economic Growth,journal,"15737020, 13814338",Q1,United States,"Economics, Econometrics and Finance"
177,19049,Trends in Genetics,journal,"01689525, 13624555",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
178,79076,"Vital and health statistics. Series 3, Analytical studies",journal,00832065,Q1,United States,Medicine
179,19614,Annual Review of Microbiology,journal,"00664227, 15453251",Q1,United States,Immunology and Microbiology
180,25491,Diabetes Care,journal,"19355548, 01495992",Q1,United States,Medicine; Nursing
181,13461,Psychological Methods,journal,"1082989X, 19391463",Q1,United States,Arts and Humanities; Psychology
182,15388,Journal of Applied Psychology,journal,"19391854, 00219010",Q1,United States,Psychology
183,19700175140,Genome Medicine,journal,1756994X,Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine"
184,21100369870,"Lancet HIV,The",journal,23523018,Q1,United Kingdom,Immunology and Microbiology; Medicine
185,93992,Sentinel event alert / Joint Commission on Accreditation of Healthcare Organizations,journal,-,Q1,United States,Medicine
186,14305,Systematic Biology,journal,"1076836X, 10635157",Q1,United Kingdom,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
187,17382,Molecular Psychiatry,journal,"14765578, 13594184",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
188,13531,Journal of the Royal Statistical Society. Series B: Statistical Methodology,journal,"14679868, 13697412",Q1,United Kingdom,Decision Sciences; Mathematics
189,26465,Progress in Polymer Science,journal,00796700,Q1,United Kingdom,Chemistry; Materials Science; Physics and Astronomy
190,4700152457,Nano Today,journal,17480132,Q1,Netherlands,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
191,21100788876,Chem,journal,24519294,Q1,United States,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Environmental Science; Materials Science; Medicine"
192,19136,Annals of the Rheumatic Diseases,journal,"00034967, 14682060",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
193,13900,Cell Research,journal,"17487838, 10010602",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
194,21100228546,JAMA Internal Medicine,journal,"21686114, 21686106",Q1,United States,Medicine
195,11500153511,ACS Nano,journal,"1936086X, 19360851",Q1,United States,Engineering; Materials Science; Physics and Astronomy
196,17700156208,Nature Reviews Gastroenterology and Hepatology,journal,"17595045, 17595053",Q1,United Kingdom,Medicine
197,21100261712,Analytic Methods in Accident Research,journal,22136657,Q1,United Kingdom,Social Sciences
198,21100242814,eLife,journal,2050084X,Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
199,17664,American Journal of Psychiatry,journal,"0002953X, 15357228",Q1,United States,Medicine
200,20810,Immunological Reviews,journal,"01052896, 1600065X",Q1,United Kingdom,Immunology and Microbiology; Medicine
201,21100457028,Science advances,journal,23752548,Q1,United States,Multidisciplinary
202,14308,Biological Psychiatry,journal,"00063223, 18732402",Q1,United States,Neuroscience
203,21100201068,Cell Reports,journal,22111247,Q1,United States,"Biochemistry, Genetics and Molecular Biology"
204,3600148102,Alzheimer's and Dementia,journal,"15525279, 15525260",Q1,United States,Medicine; Neuroscience
205,16929,American Sociological Review,journal,"00031224, 19398271",Q1,United States,Social Sciences
206,21100826360,JAMA Cardiology,journal,"23806583, 23806591",Q1,United States,Medicine
207,15870,Journal of Clinical Investigation,journal,"00219738, 15588238",Q1,United States,Medicine
208,19700173023,Living Reviews in Solar Physics,journal,"16144961, 23673648",Q1,Switzerland,Earth and Planetary Sciences; Physics and Astronomy
209,19700176402,Cold Spring Harbor perspectives in biology,journal,19430264,Q1,United States,"Biochemistry, Genetics and Molecular Biology"
210,16715,Annual Review of Phytopathology,journal,"00664286, 15452107",Q1,United States,Agricultural and Biological Sciences
211,21365,Trends in Immunology,journal,"14714906, 14714981",Q1,United Kingdom,Immunology and Microbiology; Medicine
212,85291,JAMA - Journal of the American Medical Association,journal,"15383598, 00987484, 00029955",Q1,United States,Medicine
213,21100831443,Nature Biomedical Engineering,journal,2157846X,Q1,United States,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
214,23183,European Heart Journal,journal,"15229645, 0195668X",Q1,United Kingdom,Medicine
215,18000,American Journal of Respiratory and Critical Care Medicine,journal,"1073449X, 15354970",Q1,United States,Medicine
216,29488,Progress in Particle and Nuclear Physics,journal,01466410,Q1,Netherlands,Physics and Astronomy
217,25143,Advanced Functional Materials,journal,1616301X,Q1,Germany,Chemistry; Materials Science; Physics and Astronomy
218,15557,American Political Science Review,journal,"15375943, 00030554",Q1,United Kingdom,Social Sciences
219,19133,Annual Review of Entomology,journal,"00664170, 15454487",Q1,United States,Agricultural and Biological Sciences
220,26756,Astronomy and Astrophysics Review,journal,"09354956, 14320754",Q1,Germany,Earth and Planetary Sciences; Physics and Astronomy
221,23262,Inventiones Mathematicae,journal,"00209910, 14321297",Q1,Germany,Mathematics
222,15090,Progress in Retinal and Eye Research,journal,"13509462, 18731635",Q1,United Kingdom,Medicine; Neuroscience
223,29838,Journal of Accounting and Economics,journal,01654101,Q1,Netherlands,"Business, Management and Accounting; Economics, Econometrics and Finance"
224,21100793805,"Proceedings - 2016 4th International Conference on 3D Vision, 3DV 2016",conference and proceedings,-,-,United States,Engineering; Materials Science
225,17853,Nano Letters,journal,"15306992, 15306984",Q1,United States,Chemical Engineering; Chemistry; Engineering; Materials Science; Physics and Astronomy
226,24527,Acta Mathematica,journal,00015962,Q1,Netherlands,Mathematics
227,21789,Manufacturing and Service Operations Management,journal,"15265498, 15234614",Q1,United States,"Business, Management and Accounting; Decision Sciences"
228,21100924211,Small Methods,journal,23669608,Q1,United Kingdom,Chemistry; Materials Science
229,17600155041,Nature Geoscience,journal,"17520908, 17520894",Q1,United Kingdom,Earth and Planetary Sciences
230,6400153126,Theoretical Economics,journal,15557561,Q1,United States,"Economics, Econometrics and Finance"
231,19584,Annual Review of Public Health,journal,"01637525, 15452093",Q1,United States,Medicine
232,18555,Journal of Cell Biology,journal,"15408140, 00219525",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
233,17700156440,Nature Reviews Endocrinology,journal,"17595037, 17595029",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine"
234,21100197947,Nano Energy,journal,22112855,Q1,Netherlands,Energy; Engineering; Materials Science
235,144840,PLoS Medicine,journal,"15491277, 15491676",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
236,21100831440,Nature Ecology and Evolution,journal,2397334X,Q1,United States,Agricultural and Biological Sciences; Environmental Science
237,21100407195,Optica,journal,23342536,Q1,United States,Materials Science; Physics and Astronomy
238,19700182758,Nature Communications,journal,20411723,Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
239,22324,Organization Science,journal,"15265455, 10477039",Q1,United States,"Business, Management and Accounting"
240,23188,European Journal of Heart Failure,journal,"13889842, 18790844",Q1,United States,Medicine
241,21100854197,Journal of Cellular Immunotherapy,journal,23521775,Q1,China,Medicine
242,21100416121,Nature Plants,journal,2055026X,Q1,United Kingdom,Agricultural and Biological Sciences
243,19708,FEMS Microbiology Reviews,journal,"01686445, 15746976",Q1,United Kingdom,Immunology and Microbiology; Medicine
244,17555,Journal of Monetary Economics,journal,03043932,Q1,Netherlands,"Economics, Econometrics and Finance"
245,23011,Economic Journal,journal,"14680297, 00130133",Q1,United States,"Economics, Econometrics and Finance"
246,21119,International Materials Reviews,journal,"09506608, 17432804",Q1,United Kingdom,Engineering; Materials Science
247,28096,Accounting Review,journal,00014826,Q1,United States,"Business, Management and Accounting; Economics, Econometrics and Finance"
248,13839,Annual Review of Fluid Mechanics,book series,"15454479, 00664189",Q1,United States,Physics and Astronomy
249,21307,Management Science,journal,"00251909, 15265501",Q1,United States,"Business, Management and Accounting; Decision Sciences"
250,22687,Angewandte Chemie - International Edition,journal,"14337851, 15213773",Q1,United Kingdom,Chemical Engineering; Chemistry
251,20497,Annual Review of Materials Research,book series,"15317331, 15454118",Q1,United States,Materials Science
252,25454,Blood,journal,"15280020, 00064971",Q1,United States,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
253,14317,Brain,journal,"14602156, 00068950",Q1,United Kingdom,Medicine
254,16594,Plant Cell,journal,"1532298X, 10404651",Q1,United States,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
